unit,cycle,s17,s2,s3,s20,s21,s6,s9,s14,s15,s13
1,1,392,641.82,1589.7,39.06,23.419,21.61,9046.19,8138.62,8.4195,2388.02
1,2,392,642.15,1591.82,39.0,23.4236,21.61,9044.07,8131.49,8.4318,2388.07
1,3,390,642.35,1587.99,38.95,23.3442,21.61,9052.94,8133.23,8.4178,2388.03
1,4,392,642.35,1582.79,38.88,23.3739,21.61,9049.48,8133.83,8.3682,2388.08
1,5,393,642.37,1582.85,38.9,23.4044,21.61,9055.15,8133.8,8.4294,2388.04
1,6,391,642.1,1584.47,38.98,23.3669,21.61,9049.68,8132.85,8.4108,2388.03
1,7,392,642.48,1592.32,39.1,23.3774,21.61,9059.13,8132.32,8.3974,2388.03
1,8,391,642.56,1582.96,38.97,23.3106,21.61,9040.8,8131.07,8.4076,2388.03
1,9,392,642.12,1590.98,39.05,23.4066,21.61,9046.46,8125.69,8.3728,2388.05
1,10,393,641.71,1591.24,38.95,23.4694,21.61,9051.7,8129.38,8.4286,2388.06
1,11,392,642.28,1581.75,38.94,23.4787,21.61,9049.61,8140.58,8.434,2388.01
1,12,391,642.06,1583.41,39.06,23.366,21.61,9049.37,8134.25,8.3938,2388.02
1,13,393,643.07,1582.19,38.93,23.2757,21.61,9046.82,8128.1,8.4152,2388.08
1,14,393,642.35,1592.95,39.18,23.3826,21.61,9047.37,8134.43,8.3964,2388.0
1,15,391,642.43,1583.82,38.99,23.35,21.61,9052.22,8127.56,8.4199,2388.08
1,16,392,642.13,1587.98,38.97,23.455,21.61,9049.34,8136.11,8.3936,2388.07
1,17,392,642.58,1584.96,38.81,23.3319,21.61,9054.92,8137.27,8.4542,2388.04
1,18,392,642.62,1591.04,38.89,23.3987,21.61,9049.55,8132.73,8.4028,2388.07
1,19,391,641.79,1587.56,38.8,23.3464,21.61,9053.99,8129.13,8.4321,2388.03
1,20,392,643.04,1581.11,39.03,23.422,21.61,9045.9,8129.71,8.421,2388.02
1,21,392,642.37,1586.07,39.09,23.3101,21.61,9048.15,8134.02,8.4049,2388.08
1,22,392,642.77,1592.93,38.92,23.3792,21.61,9061.21,8130.41,8.4034,2388.03
1,23,392,642.14,1588.19,38.94,23.4562,21.61,9046.28,8127.9,8.424,2388.05
1,24,392,642.38,1590.83,39.0,23.3696,21.61,9043.76,8133.88,8.3891,2388.03
1,25,393,642.77,1594.1,38.95,23.4288,21.61,9054.16,8136.61,8.3917,2388.02
1,26,394,642.16,1589.08,38.86,23.4149,21.61,9047.11,8131.15,8.426,2388.06
1,27,393,642.44,1590.47,38.99,23.4472,21.61,9047.96,8134.6,8.4046,2388.13
1,28,390,642.35,1582.84,39.01,23.2841,21.61,9049.84,8127.3,8.4323,2388.08
1,29,393,641.91,1584.83,38.93,23.3597,21.61,9050.47,8133.06,8.4189,2388.06
1,30,390,642.2,1593.52,39.05,23.411,21.61,9045.62,8137.86,8.4065,2388.0
1,31,392,642.02,1584.18,38.94,23.3353,21.61,9058.78,8125.28,8.4104,2388.06
1,32,392,642.33,1591.38,39.02,23.4999,21.61,9050.97,8129.7,8.4148,2388.07
1,33,392,642.71,1588.4,38.83,23.3506,21.61,9047.13,8134.42,8.3753,2388.08
1,34,392,642.54,1581.47,38.81,23.3092,21.61,9046.46,8126.61,8.4349,2388.09
1,35,391,642.44,1590.0,39.13,23.4164,21.61,9045.76,8140.17,8.443,2388.01
1,36,392,642.54,1581.72,38.86,23.4308,21.61,9044.56,8132.48,8.4246,2388.04
1,37,392,641.99,1579.11,38.99,23.4352,21.61,9055.44,8131.95,8.4142,2388.04
1,38,392,641.93,1589.6,39.06,23.4768,21.61,9055.27,8136.61,8.4158,2388.08
1,39,392,642.01,1583.21,38.7,23.3699,21.61,9051.76,8131.81,8.414,2388.05
1,40,392,642.24,1582.08,38.84,23.3769,21.61,9052.98,8131.03,8.3784,2388.01
1,41,392,642.4,1591.31,39.13,23.4444,21.61,9048.99,8138.08,8.437,2388.03
1,42,392,642.12,1584.66,39.0,23.375,21.61,9057.06,8130.88,8.4137,2388.05
1,43,392,642.24,1591.52,38.99,23.3148,21.61,9057.88,8127.22,8.4068,2388.09
1,44,392,641.93,1586.94,39.06,23.4753,21.61,9046.87,8131.45,8.4201,2388.0
1,45,393,642.53,1582.42,38.79,23.3943,21.61,9060.32,8128.31,8.4099,2388.05
1,46,393,642.43,1588.29,38.93,23.3745,21.61,9060.38,8128.71,8.3977,2388.08
1,47,392,642.21,1580.32,38.99,23.4873,21.61,9052.04,8126.21,8.3973,2388.05
1,48,392,641.89,1588.51,38.94,23.365,21.61,9045.26,8129.99,8.4376,2388.06
1,49,392,642.23,1584.35,39.06,23.4498,21.61,9050.64,8135.48,8.4151,2388.04
1,50,392,642.77,1588.49,38.85,23.4106,21.61,9048.6,8127.3,8.4116,2388.09
1,51,393,642.81,1585.54,38.94,23.3651,21.61,9047.09,8134.36,8.4504,2388.05
1,52,391,642.76,1583.77,39.0,23.3388,21.61,9056.01,8132.82,8.4539,2388.07
1,53,392,642.61,1579.82,38.9,23.3775,21.61,9051.15,8134.38,8.4418,2388.06
1,54,392,642.42,1592.59,38.96,23.2348,21.61,9056.29,8129.95,8.4189,2388.06
1,55,392,642.41,1584.95,39.06,23.3567,21.61,9048.94,8134.1,8.4071,2388.02
1,56,391,642.49,1586.33,38.68,23.3408,21.61,9042.42,8135.4,8.4022,2388.04
1,57,392,642.13,1583.67,38.84,23.3567,21.61,9050.8,8135.48,8.4263,2388.08
1,58,390,641.9,1590.46,38.93,23.2893,21.61,9050.33,8132.08,8.4319,2388.04
1,59,392,642.33,1596.72,38.92,23.4444,21.61,9050.06,8128.81,8.4476,2388.02
1,60,393,642.34,1582.75,38.89,23.387,21.61,9051.69,8132.89,8.3878,2388.03
1,61,391,642.1,1583.55,38.89,23.3638,21.61,9050.58,8131.66,8.4264,2388.09
1,62,391,642.17,1581.59,39.03,23.2707,21.61,9053.62,8132.28,8.4071,2388.1
1,63,394,642.6,1592.14,38.77,23.3436,21.61,9049.96,8130.73,8.4357,2388.01
1,64,391,642.23,1584.51,38.93,23.384,21.61,9043.67,8128.15,8.4066,2388.04
1,65,392,642.28,1584.72,38.9,23.3752,21.61,9044.01,8132.94,8.4406,2388.13
1,66,391,642.5,1588.5,38.95,23.3152,21.61,9059.45,8128.32,8.3911,2388.05
1,67,393,642.33,1590.22,38.97,23.291,21.61,9050.24,8134.07,8.3925,2388.08
1,68,392,642.51,1582.06,38.95,23.3174,21.61,9051.78,8132.39,8.4242,2388.07
1,69,392,642.44,1590.7,39.0,23.3742,21.61,9050.59,8129.13,8.4292,2388.1
1,70,392,642.22,1584.02,38.86,23.4513,21.61,9053.43,8130.36,8.4279,2388.12
1,71,391,642.21,1580.41,38.8,23.3881,21.61,9046.09,8134.28,8.423,2388.09
1,72,391,642.41,1579.25,38.84,23.3085,21.61,9054.42,8133.95,8.3951,2388.09
1,73,391,642.29,1592.04,39.03,23.3975,21.61,9049.64,8129.85,8.404,2388.1
1,74,392,642.96,1584.65,38.8,23.382,21.61,9045.85,8132.67,8.4135,2387.97
1,75,392,641.96,1582.32,38.89,23.3521,21.61,9042.32,8130.13,8.4621,2388.11
1,76,390,642.21,1589.21,39.02,23.4428,21.61,9056.55,8136.44,8.3996,2388.03
1,77,393,642.55,1586.3,38.99,23.275,21.61,9046.44,8135.25,8.453,2388.08
1,78,392,641.99,1580.76,38.88,23.3486,21.61,9042.37,8133.91,8.3793,2388.16
1,79,394,642.12,1582.46,38.9,23.3121,21.61,9047.86,8135.4,8.4132,2388.13
1,80,392,641.94,1591.96,38.89,23.3613,21.61,9043.67,8134.66,8.4235,2388.1
1,81,392,642.73,1584.82,38.77,23.373,21.61,9045.31,8128.87,8.4247,2388.05
1,82,393,642.04,1589.07,38.89,23.2713,21.61,9048.22,8134.04,8.3986,2388.03
1,83,391,642.66,1588.05,38.8,23.3274,21.61,9049.08,8131.32,8.4128,2388.05
1,84,392,642.64,1585.52,38.73,23.2653,21.61,9050.47,8131.54,8.4139,2388.06
1,85,392,642.28,1590.12,39.01,23.284,21.61,9056.08,8135.31,8.4499,2388.05
1,86,394,641.84,1588.8,38.94,23.3945,21.61,9047.26,8130.06,8.4173,2388.09
1,87,391,642.33,1586.69,38.88,23.3402,21.61,9050.52,8130.41,8.4326,2388.06
1,88,392,641.96,1581.29,38.9,23.3086,21.61,9046.73,8131.47,8.4586,2388.04
1,89,392,642.24,1584.73,38.95,23.3288,21.61,9055.24,8135.15,8.4489,2388.08
1,90,391,642.67,1584.38,38.98,23.4712,21.61,9051.27,8129.72,8.3961,2388.09
1,91,394,641.98,1584.84,39.11,23.3842,21.61,9050.72,8134.4,8.3949,2388.1
1,92,392,642.89,1590.03,38.99,23.3522,21.61,9048.36,8131.39,8.3982,2388.05
1,93,392,642.85,1593.74,38.86,23.2477,21.61,9047.87,8133.15,8.421,2388.08
1,94,393,642.45,1583.27,38.85,23.3758,21.61,9045.83,8132.4,8.4524,2388.07
1,95,394,642.86,1577.6,38.76,23.3269,21.61,9048.85,8131.63,8.4575,2388.02
1,96,392,642.19,1584.07,38.88,23.3255,21.61,9048.71,8130.69,8.4311,2388.06
1,97,392,642.07,1595.77,39.01,23.2963,21.61,9046.1,8128.74,8.4105,2388.06
1,98,391,642.0,1591.11,38.96,23.2554,21.61,9045.49,8127.89,8.4012,2388.06
1,99,393,642.46,1592.73,38.82,23.2323,21.61,9045.14,8131.77,8.4481,2388.1
1,100,392,642.22,1589.63,38.93,23.409,21.61,9045.72,8132.49,8.4241,2388.08
1,101,391,642.75,1584.18,38.75,23.4149,21.61,9052.3,8125.97,8.4353,2388.08
1,102,393,642.85,1589.11,38.94,23.3653,21.61,9051.36,8130.4,8.4561,2388.05
1,103,392,642.21,1581.27,38.69,23.4289,21.61,9053.28,8124.4,8.4263,2388.1
1,104,392,642.29,1590.63,38.96,23.3393,21.61,9044.73,8131.89,8.4021,2388.09
1,105,393,642.01,1588.28,38.77,23.3857,21.61,9048.36,8134.01,8.4326,2388.08
1,106,392,642.68,1589.05,39.08,23.4148,21.61,9049.82,8126.38,8.4664,2388.09
1,107,396,642.53,1595.13,39.01,23.4086,21.61,9048.68,8132.4,8.4241,2388.07
1,108,393,643.49,1585.91,38.75,23.3032,21.61,9047.03,8131.52,8.4133,2388.03
1,109,394,642.49,1586.45,39.05,23.3561,21.61,9051.13,8130.97,8.3757,2388.11
1,110,393,642.55,1590.01,39.06,23.2951,21.61,9051.4,8127.16,8.4638,2388.12
1,111,392,642.67,1584.38,38.92,23.2135,21.61,9051.64,8132.4,8.4447,2388.14
1,112,394,642.66,1586.46,38.84,23.3207,21.61,9051.28,8131.52,8.4445,2388.08
1,113,393,642.68,1590.85,38.9,23.3101,21.61,9053.15,8129.32,8.458,2388.16
1,114,394,642.31,1588.42,38.89,23.3754,21.61,9046.58,8132.36,8.429,2388.15
1,115,393,642.66,1594.84,38.93,23.3022,21.61,9050.37,8127.6,8.4345,2388.12
1,116,394,642.64,1580.31,39.03,23.3512,21.61,9049.71,8134.46,8.4059,2388.05
1,117,391,642.38,1589.77,38.73,23.1766,21.61,9049.61,8126.12,8.4256,2388.1
1,118,393,642.34,1585.67,38.88,23.2966,21.61,9051.12,8135.21,8.4197,2388.12
1,119,394,642.67,1596.8,39.01,23.3188,21.61,9045.89,8123.85,8.4194,2388.09
1,120,393,642.81,1593.78,38.81,23.3061,21.61,9048.72,8125.57,8.4029,2388.1
1,121,394,642.63,1593.56,38.63,23.422,21.61,9040.97,8133.94,8.4263,2388.04
1,122,393,643.3,1593.68,38.86,23.2793,21.61,9042.39,8131.81,8.4256,2388.12
1,123,392,643.39,1586.66,38.9,23.292,21.61,9049.44,8129.72,8.4396,2388.17
1,124,393,642.48,1587.14,38.8,23.2341,21.61,9053.03,8133.82,8.4416,2388.13
1,125,394,642.96,1585.47,38.68,23.3039,21.61,9046.16,8126.33,8.4079,2388.11
1,126,392,642.49,1582.64,38.85,23.2289,21.61,9049.11,8130.94,8.4378,2388.08
1,127,393,642.99,1586.9,38.91,23.2772,21.61,9047.9,8133.0,8.4626,2388.1
1,128,393,642.47,1593.87,38.85,23.2641,21.61,9056.59,8132.08,8.4413,2388.16
1,129,393,642.41,1591.33,38.84,23.2656,21.61,9046.08,8127.33,8.4681,2388.13
1,130,394,642.7,1585.9,38.71,23.3461,21.61,9042.97,8125.29,8.3938,2388.07
1,131,391,643.01,1585.78,38.73,23.3435,21.61,9045.1,8126.38,8.4328,2388.13
1,132,393,643.19,1596.06,38.53,23.3186,21.61,9044.04,8128.92,8.4227,2388.16
1,133,394,642.45,1592.64,38.95,23.2521,21.61,9050.95,8130.93,8.4604,2388.09
1,134,393,642.85,1583.62,38.68,23.2833,21.61,9046.16,8131.3,8.4293,2388.13
1,135,392,642.45,1585.55,38.85,23.2744,21.61,9050.65,8129.34,8.4242,2388.12
1,136,393,642.84,1584.72,38.76,23.1699,21.61,9040.89,8130.43,8.4469,2388.11
1,137,394,642.43,1594.69,38.87,23.2593,21.61,9040.55,8128.81,8.449,2388.12
1,138,392,642.79,1589.82,39.0,23.3664,21.61,9049.64,8129.67,8.4208,2388.18
1,139,394,643.11,1592.28,38.88,23.3422,21.61,9044.81,8124.97,8.4621,2388.15
1,140,393,643.05,1590.89,38.82,23.3704,21.61,9055.85,8130.27,8.4397,2388.05
1,141,394,642.39,1590.02,39.02,23.2382,21.61,9050.86,8120.93,8.4641,2388.16
1,142,392,642.51,1595.29,38.71,23.2816,21.61,9046.61,8124.87,8.4291,2388.18
1,143,393,642.77,1593.1,38.79,23.2305,21.61,9050.63,8126.81,8.4419,2388.11
1,144,393,643.09,1591.89,38.75,23.2249,21.61,9049.33,8125.47,8.4601,2388.17
1,145,395,642.95,1594.92,38.67,23.149,21.61,9046.92,8130.91,8.4644,2388.15
1,146,392,642.72,1586.75,38.69,23.3233,21.61,9045.99,8129.19,8.4312,2388.12
1,147,393,642.25,1594.85,38.77,23.2684,21.61,9041.24,8126.13,8.4428,2388.12
1,148,392,643.02,1590.03,38.77,23.2498,21.61,9040.93,8124.48,8.4276,2388.15
1,149,394,642.9,1592.78,38.77,23.2565,21.61,9057.24,8124.34,8.4731,2388.15
1,150,394,643.06,1589.01,38.68,23.2082,21.61,9044.76,8122.99,8.4726,2388.21
1,151,394,642.82,1592.39,38.56,23.2277,21.61,9048.12,8127.21,8.4612,2388.22
1,152,395,642.67,1598.6,38.77,23.2369,21.61,9043.9,8119.0,8.4572,2388.19
1,153,393,642.99,1589.17,38.78,23.1719,21.61,9049.43,8124.14,8.4435,2388.17
1,154,394,642.81,1597.03,38.82,23.2366,21.61,9049.08,8129.24,8.4794,2388.18
1,155,394,642.83,1590.4,38.68,23.2749,21.61,9049.56,8120.41,8.4729,2388.17
1,156,395,643.04,1585.61,38.77,23.2791,21.61,9044.21,8128.48,8.4432,2388.16
1,157,392,642.2,1598.04,38.67,23.2354,21.61,9053.12,8125.07,8.4328,2388.17
1,158,394,642.88,1596.82,38.75,23.2894,21.61,9049.22,8126.33,8.4368,2388.22
1,159,394,642.89,1589.54,38.76,23.253,21.61,9048.06,8127.61,8.4403,2388.23
1,160,396,643.45,1590.65,38.52,23.2817,21.61,9045.42,8122.68,8.4433,2388.22
1,161,394,643.0,1594.2,38.66,23.2962,21.61,9048.06,8126.97,8.4405,2388.18
1,162,394,643.15,1592.22,38.78,23.1538,21.61,9044.45,8123.77,8.5015,2388.2
1,163,393,642.85,1600.54,38.65,23.1419,21.61,9049.24,8124.06,8.5129,2388.2
1,164,394,643.17,1598.96,38.62,23.1761,21.61,9048.92,8124.63,8.4803,2388.28
1,165,393,642.76,1597.03,38.59,23.2129,21.61,9039.09,8126.53,8.4922,2388.24
1,166,395,643.34,1596.72,38.62,23.145,21.61,9043.11,8119.14,8.4663,2388.22
1,167,394,643.02,1593.83,38.77,23.3011,21.61,9042.05,8122.41,8.4632,2388.18
1,168,393,642.68,1591.19,38.76,23.277,21.61,9036.35,8124.44,8.4925,2388.19
1,169,394,643.2,1590.16,38.58,23.187,21.61,9055.18,8125.3,8.4767,2388.18
1,170,395,642.92,1592.71,38.66,23.1615,21.61,9044.03,8121.76,8.49,2388.26
1,171,395,643.26,1592.06,38.68,23.2444,21.61,9042.12,8124.87,8.4922,2388.22
1,172,393,643.33,1591.71,38.65,23.1585,21.61,9039.1,8120.08,8.4595,2388.26
1,173,395,642.97,1590.69,38.59,23.1789,21.61,9048.82,8121.64,8.5091,2388.23
1,174,393,642.64,1599.81,38.57,23.0357,21.61,9041.25,8119.17,8.4476,2388.21
1,175,394,643.61,1603.29,38.58,23.1573,21.61,9042.66,8125.76,8.489,2388.22
1,176,394,642.86,1592.27,38.72,23.2491,21.61,9045.74,8123.8,8.4853,2388.2
