unit,cycle,s17,s2,s3,s20,s21,s6,s9,s14,s15,s13,max_cycle,RUL,predicted_rul_xgb
1,1,392,641.82,1589.7,39.06,23.419,21.61,9046.19,8138.62,8.4195,2388.02,192,191,222.80206
1,2,392,642.15,1591.82,39.0,23.4236,21.61,9044.07,8131.49,8.4318,2388.07,192,190,191.21323
1,3,390,642.35,1587.99,38.95,23.3442,21.61,9052.94,8133.23,8.4178,2388.03,192,189,215.7967
1,4,392,642.35,1582.79,38.88,23.3739,21.61,9049.48,8133.83,8.3682,2388.08,192,188,218.1172
1,5,393,642.37,1582.85,38.9,23.4044,21.61,9055.15,8133.8,8.4294,2388.04,192,187,214.73364
1,6,391,642.1,1584.47,38.98,23.3669,21.61,9049.68,8132.85,8.4108,2388.03,192,186,219.14572
1,7,392,642.48,1592.32,39.1,23.3774,21.61,9059.13,8132.32,8.3974,2388.03,192,185,209.22505
1,8,391,642.56,1582.96,38.97,23.3106,21.61,9040.8,8131.07,8.4076,2388.03,192,184,210.5237
1,9,392,642.12,1590.98,39.05,23.4066,21.61,9046.46,8125.69,8.3728,2388.05,192,183,201.02077
1,10,393,641.71,1591.24,38.95,23.4694,21.61,9051.7,8129.38,8.4286,2388.06,192,182,191.97972
1,11,392,642.28,1581.75,38.94,23.4787,21.61,9049.61,8140.58,8.434,2388.01,192,181,187.18542
1,12,391,642.06,1583.41,39.06,23.366,21.61,9049.37,8134.25,8.3938,2388.02,192,180,212.64598
1,13,393,643.07,1582.19,38.93,23.2757,21.61,9046.82,8128.1,8.4152,2388.08,192,179,190.21309
1,14,393,642.35,1592.95,39.18,23.3826,21.61,9047.37,8134.43,8.3964,2388.0,192,178,188.2881
1,15,391,642.43,1583.82,38.99,23.35,21.61,9052.22,8127.56,8.4199,2388.08,192,177,182.71048
1,16,392,642.13,1587.98,38.97,23.455,21.61,9049.34,8136.11,8.3936,2388.07,192,176,195.8003
1,17,392,642.58,1584.96,38.81,23.3319,21.61,9054.92,8137.27,8.4542,2388.04,192,175,204.62688
1,18,392,642.62,1591.04,38.89,23.3987,21.61,9049.55,8132.73,8.4028,2388.07,192,174,201.9553
1,19,391,641.79,1587.56,38.8,23.3464,21.61,9053.99,8129.13,8.4321,2388.03,192,173,196.56445
1,20,392,643.04,1581.11,39.03,23.422,21.61,9045.9,8129.71,8.421,2388.02,192,172,199.08717
1,21,392,642.37,1586.07,39.09,23.3101,21.61,9048.15,8134.02,8.4049,2388.08,192,171,183.49808
1,22,392,642.77,1592.93,38.92,23.3792,21.61,9061.21,8130.41,8.4034,2388.03,192,170,176.96236
1,23,392,642.14,1588.19,38.94,23.4562,21.61,9046.28,8127.9,8.424,2388.05,192,169,173.58835
1,24,392,642.38,1590.83,39.0,23.3696,21.61,9043.76,8133.88,8.3891,2388.03,192,168,181.78917
1,25,393,642.77,1594.1,38.95,23.4288,21.61,9054.16,8136.61,8.3917,2388.02,192,167,195.09995
1,26,394,642.16,1589.08,38.86,23.4149,21.61,9047.11,8131.15,8.426,2388.06,192,166,183.48648
1,27,393,642.44,1590.47,38.99,23.4472,21.61,9047.96,8134.6,8.4046,2388.13,192,165,188.4442
1,28,390,642.35,1582.84,39.01,23.2841,21.61,9049.84,8127.3,8.4323,2388.08,192,164,176.25943
1,29,393,641.91,1584.83,38.93,23.3597,21.61,9050.47,8133.06,8.4189,2388.06,192,163,179.86101
