engine_id,cycle,true_rul,predicted_rul_xgb
1,1,30,144.40607
1,2,29,190.58353
1,3,28,135.52472
1,4,27,147.1461
1,5,26,148.24286
1,6,25,168.07202
1,7,24,153.93442
1,8,23,171.64313
1,9,22,147.295
1,10,21,164.61331
1,11,20,170.90154
1,12,19,154.6449
1,13,18,152.70494
1,14,17,158.36818
1,15,16,130.12305
1,16,15,142.79579
1,17,14,178.76463
1,18,13,164.4665
1,19,12,152.71034
1,20,11,163.74734
1,21,10,164.62994
1,22,9,168.64626
1,23,8,158.97417
1,24,7,160.09424
1,25,6,161.19939
1,26,5,176.20064
1,27,4,138.29706
1,28,3,151.75061
1,29,2,147.32907
1,30,1,159.6293
1,31,0,158.11656
2,1,48,156.1988
2,2,47,136.10652
2,3,46,122.35785
2,4,45,150.81085
2,5,44,150.184
2,6,43,137.11818
2,7,42,142.85468
2,8,41,124.08222
2,9,40,131.39903
2,10,39,133.36816
2,11,38,143.10938
2,12,37,102.59166
2,13,36,154.692
2,14,35,122.87926
2,15,34,209.09052
2,16,33,144.36055
2,17,32,160.53932
2,18,31,138.726
2,19,30,137.32414
2,20,29,139.46185
2,21,28,128.65811
2,22,27,129.1739
2,23,26,154.55528
2,24,25,135.55344
2,25,24,137.82954
2,26,23,130.3487
2,27,22,134.78073
2,28,21,145.16368
2,29,20,148.02367
2,30,19,134.7811
2,31,18,126.73235
2,32,17,109.84607
2,33,16,119.70555
2,34,15,146.81285
2,35,14,138.73108
2,36,13,137.67212
2,37,12,173.18416
2,38,11,128.48094
2,39,10,122.78092
2,40,9,154.1696
2,41,8,131.312
2,42,7,122.46508
2,43,6,119.226746
2,44,5,117.04259
2,45,4,137.04243
2,46,3,129.94221
2,47,2,145.53351
2,48,1,141.31628
2,49,0,116.86593
3,1,125,141.84843
3,2,124,138.08687
3,3,123,137.43718
3,4,122,100.03096
3,5,121,135.82501
3,6,120,159.00229
3,7,119,138.75526
3,8,118,140.39877
3,9,117,123.25506
3,10,116,126.93704
3,11,115,126.40974
3,12,114,139.85408
3,13,113,109.31182
3,14,112,151.30875
3,15,111,110.13218
3,16,110,130.81207
3,17,109,130.30878
3,18,108,148.37112
3,19,107,123.450775
3,20,106,115.52994
3,21,105,139.73958
3,22,104,133.86165
3,23,103,117.223625
3,24,102,146.54465
3,25,101,97.81144
3,26,100,144.99948
3,27,99,126.57309
3,28,98,132.20747
3,29,97,110.84582
3,30,96,86.69654
3,31,95,90.21746
3,32,94,134.84518
3,33,93,88.29506
3,34,92,124.36051
3,35,91,123.81486
3,36,90,133.63702
3,37,89,125.02201
3,38,88,125.008896
3,39,87,127.95975
3,40,86,136.25224
3,41,85,152.74643
3,42,84,119.42458
3,43,83,118.87187
3,44,82,122.986694
3,45,81,123.925514
3,46,80,117.4967
3,47,79,130.74347
3,48,78,100.45909
3,49,77,118.56329
3,50,76,82.59928
3,51,75,115.653725
3,52,74,136.38716
3,53,73,142.61304
3,54,72,128.6584
3,55,71,138.45976
3,56,70,122.820465
3,57,69,132.05785
3,58,68,93.043945
3,59,67,122.00476
3,60,66,105.768425
3,61,65,118.60875
3,62,64,132.17645
3,63,63,120.340904
3,64,62,92.31279
3,65,61,124.25019
3,66,60,124.421814
3,67,59,133.7189
3,68,58,90.89776
3,69,57,99.6238
3,70,56,136.36255
3,71,55,119.8102
3,72,54,117.486595
3,73,53,80.27449
3,74,52,136.62358
3,75,51,107.55144
3,76,50,101.65097
3,77,49,92.58507
3,78,48,111.87116
3,79,47,106.52757
3,80,46,119.51648
3,81,45,129.79517
3,82,44,113.27229
